Accession	DSS3_ac_a	DSS3_ac_b	DSS3_ac_c	DSS3_glc_ac_19_a	DSS3_glc_ac_19_b	DSS3_glc_ac_19_c	DSS3_glc_ac_34_a	DSS3_glc_ac_34_b	DSS3_glc_ac_34_c	DSS3_glc_a	DSS3_glc_b	DSS3_glc_c
SPO1186	0.00011894	0.000330388	0.000248158	7.19512E-05	1.32155E-05	7.19512E-05	0.000146839	0.000177676	7.19512E-05	0.00015255	2.4408E-05	9.76318E-05
SPO1187	4.71398E-06	4.71398E-06	4.24258E-05	1.1785E-06	4.71398E-06	4.24258E-05	1.06065E-05	1.88559E-05	0.00011785	5.49179E-05	0.000298997	3.08527E-05
SPO1188	1.35266E-06		1.21739E-05						5.41063E-06	1.10945E-05		5.49179E-05
SPO1191					2.42285E-05					3.99403E-05		
SPO1194											1.10945E-05	2.4408E-05
SPO1195	0.00060184	0.003323661	0.003046814	0.002172642	0.003046814	0.001843135	0.002654114	0.004387413	0.004068438	0.006179771	0.005491789	0.002496268
SPO1196	0.000738144	0.000624765	0.000382654	0.000993246	0.000925927	0.000265732	0.001209375	0.000426352	0.000993246	0.00080045	0.004783958	0.001874974
SPO1200	1.60474E-05	1.60474E-05	2.85288E-05	2.85288E-05	1.60474E-05	1.60474E-05	2.85288E-05	6.41897E-05	1.60474E-05		6.10199E-06	
SPO1201	0.000351762	0.000258437	0.00017947	0.000303305	0.000258437	0.000217159	0.000459444	0.000217159	0.000217159	0.000738341	0.000878686	0.000878686
SPO1202				6.55736E-06					6.55736E-06	5.49179E-05	1.1107E-05	0.000219672
SPO1203			4.93644E-06	1.97458E-05	1.97458E-05	1.1107E-05	4.4428E-05	6.04714E-05	1.97458E-05	9.76318E-05	8.59351E-05	0.000390527
SPO1204	0.001241225	0.00187349	0.001463126	0.00482406	0.004413696	0.003292034	0.007846571	0.007669253	0.011818492	0.010219664	0.009127476	0.039545655
SPO1205	7.17881E-06		1.7947E-06	1.61523E-05	7.17881E-06	1.7947E-06	6.46093E-05	1.61523E-05	1.61523E-05			
SPO1206	0.000558848	0.000435089	0.0003268	0.000626528	0.000495034	0.000278457	0.000698076	0.000233981	0.000123759	0.002440795	0.002690977	0.000649884
SPO1207	0.000225073	0.000625204	0.000441144	0.000289094	0.000225073	0.000441144	0.000529172	0.000361118	0.000529172	0.000562359	0.001977044	0.000454983
SPO1208	3.78092E-06		8.50707E-06		9.4523E-07	9.4523E-07			9.4523E-07	3.99403E-05	2.77363E-06	
SPO1209	0.000551458	0.001025438	0.001025438	0.000502464	0.00071211	0.000502464	0.00109494	0.000830605	0.00060273	0.001977044	0.000801579	0.000513633
SPO1210	0.00054711	0.000595719	0.000595719	0.00054711	0.000699143	0.000595719	0.001654776	0.003600173	0.001912301	0.006248435	0.002496268	0.007209733
SPO1211												1.71618E-06
SPO1213	3.55583E-05	9.87732E-05	8.00063E-05	2.46933E-05	0.00022224	0.000193595	4.83989E-05	0.000252859	0.00022224	0.000494261	0.000162471	0.000277363
SPO1214	2.25883E-05	6.91768E-05	5.64708E-06	9.03533E-05	6.91768E-05	2.25883E-05	5.08238E-05	3.52943E-05	6.91768E-05	0.000494261	0.000390527	0.000390527
SPO1215	0.00017673	0.000373909	0.00017673	0.000118307	0.000146058	0.000422108	0.000373909	0.000373909	0.000328631	0.000208565	0.000878686	0.000878686
SPO1218	1.03815E-06	4.15258E-06			1.03815E-06		1.03815E-06			4.93644E-06		
SPO1220	0.000376979	7.44649E-05	4.65406E-06	7.44649E-05	4.18865E-05		1.86162E-05			5.49179E-05	5.49179E-05	
SPO1221	0.000213015	0.000332836	0.000402731	0.000163089	0.000269597	0.000269597	0.00018722	0.000440175	0.000520056	0.00024713	0.00119599	0.000491503
SPO1226a	4.61495E-06		4.15345E-05					0.000115374				
SPO1230	7.15077E-07	7.15077E-07	7.15077E-07	7.15077E-07			7.15077E-07	6.43569E-06				
